login,company,followers,following,languages,organizations
furkansahin                             ,Bilkent Universitesi                                                                                                                                                                                                                                      ,"{SafaOzturk,oguzbilgener,denizonural,metincansiper,zubeyr94,yusufkildan,eneskemalergin,pranavlathigara,angusshire,shoshindes,alicaglayan,stone-jin,oguzdemir,Treslina,CharlesTaylor,guemues,sanpier,qinix,bkakilli,cagdass,mrsfy,kalderia,istemi-bahceci,mertaytore,barispoyraz,huseyinozkilic}","{lfittl,taylanpince,orta,jasonmp85,dkberktas,ustun,neonichu,metdos,bgedik,odersky,mustafaakin,calkan,oguzbilgener,aamederen,GokhanArik,anarazel,alpercem70,byucesoy,ozgune,sumedhpathak,dmytrodanylyk,thuetter,mpreis,ugurdogrusoz,alicaglayan,denizonural,baraaorabi,samay-sharma,cagdass,anikristo,SafaOzturk,stone-jin,metincansiper,abuyukcakir,CharlesTaylor,umurc,marcocitus,Treslina,aeakdogan,yusufkildan,eneskemalergin,onderkalaci,istemi-bahceci,bkakilli,mtuncer,sanpier,windiest,mertaytore,zubeyr94,barispoyraz,Jhanbanan,yurttas,JoelDan192,guemues,shoshindes,mrsfy,BercesteDincer,oguzdemir}","{PHP,C++,Python,Java,HTML,JavaScript,XSLT,Ruby,None,C}","{""<Organization [cytoscape:]>"",""<Organization [PathwayCommons:]>"",""<Organization [citusdata:]>"",""<Organization [Beatify:]>"",""<Organization [BilkentCS319:]>"",""<Organization [CrypDist:]>""}"
SafaOzturk                              ,,"{denizonural,batugayretli,ozymaxx,techeventstr,furkansahin,cusspvz,cagdass,stone-jin,zubeyr94,bkakilli,senakicir,begozcan,bugrafelekoglu,orhuneren}","{lrz,jadonk,taylanpince,aral,neonichu,harthur,charliesome,ssg,Teknoman117,daneden,zasadnyy,MasDennis,jaredsinclair,mustafaakin,oguzbilgener,krzysztofzablocki,hantuzun,dmytrodanylyk,derekmolloy,ozymaxx,maverich,bugrafelekoglu,ErdeBek,denizonural,furkansahin,baraaorabi,cagdass,begozcan,bikerglen,Kafaraqgatri,ibrahimkurban,CharlesTaylor,Kusaihana,senakicir,sinemete,batugayretli,firatozbay,bkakilli,zubeyr94,orhuneren}","{Arduino,JavaScript,HTML,None}",
oguzbilgener                            ,@benbria                                                                                                                                                                                                                                                  ,"{ecunal,kadircet,dkorkmazturk,insomnium7,hantuzun,meliksh,ErdeBek,ozgur00,furkansahin,SafaOzturk,denizonural,begozcan,kublaios,nuptboyzhb,ankitthakkarsa,smonalisa2011,gasbakid,leandroboni,Kevincc,DevenLu,imalhasaranga,anand-1901,vigo,thuytrinh,erhnby,wuyexiong,mistrydarshan99,CoderAFI,joom,zohaibbrohi,bayarkhuu0512,yasin-kafadar,ozymaxx,matchdav,aacanakin,wsenjer,leo0017,slm,kxl2005,imgen,jiashilei-1985,myohtetaung87,naveenkumarbv66,wrjqss,ercanpinar,techeventstr,anandsalgo,tianshaokai,sam33rdhakal,sevketyilmaz,darculathor,SureshCS-50,cesards,hafsalrahman,boygaggoo,kurtulusahmet,OkancanCosar,mehmetdik,balagovind,pranavlathigara,ogta,onewilk,sushantp053,zbd0518,huseyinozkilic,orhanobut,mmmeeedddsss,iMiracle,liangyf,langelee,mustafasevgi,celikkoseoglu,evrimulgen,mehmetakiftutuncu,sefaermancik,ailyanlu,Ulubay,Karayel,ypersyntelykos,jmvines,spyder4u,biratrai,ozgurshn,LoveXFF,liang3391,fehmicansaglam,omerhakanbilici,aaisnep,sylviapric,liufsd,aligoren,tech-nik,ravikant-paudel,ArunBartak,yunguangshu,cslong1,alpers,ideaplayer,StevenMasini,lizhidu,Arunkarthicknallasami,alierdogan7,kaaninan,OguzhanE,ebensakyi,YongHuiLuo,frigids-PUCC,cholpona,aburkov,phantuanphong,vikramkakkar,gabrielpconceicao,jackuhan,asimiqbalmalik,alchemistake,selinfildis,cnrainbing,obedeugene,jayshah-07,burakkara,KhalilZaidoun,shoshindes,kundansdere,manobendro,cusspvz,brunocasanova,fortunatey,thirtyninekilovolts,DjCedrics,angcyo,ronanhardiman,Livin21,jastarex,Hesenjan,angusshire,stone-jin,zubeyr94,orangebook,aykuttasil,anikristo,raghunandankavi2010,soyelmnd,halit4603,dz0ny,huxq17,BYK,camligorkem,mithunkundu1983,altugkarakurt,cesmeemlak,alpernebbi,fxpage,Rexota,yedelingdong,jiaojohn,adoubo,sarahfig1,mijerck,okarakose,mutkan,gaoyong06,Isayes,cemsoyulmaz,Andy112,tnrylmz,firatozbay,ufukomer,cagdass,serhatgksu,addappcn,yangxuqiang9,sunyy628,msandroid,duanjiabao,rezayahyapour,aranfereshteh,aliatli,ahmet,envergokmen,orhuneren,explorator-app,hummatli,deshalb,muhammetdemirci,SnehaRane,daqiang5566,mallikarjunayaddala,mehmetv,gintern,Rakhimjon,EpicNav}","{stephencelis,abraham,jballanc,mattt,lrz,isaacs,skanev,bdd,remy,schwa,tj,berkerpeksag,aral,ozgur,benanne,garybernhardt,rsms,orta,robrix,emre,brianpeiris,vigo,hasantayyar,Me1000,cyrilmottier,ustun,romannurik,rakyll,addyosmani,neonichu,serdardalgic,earslap,kadirpekel,BYK,muratcorlu,oguzbilgic,emres,RayRoestenburg,ahmetalpbalkan,seyhunak,LeaVerou,bagder,o,doganaydin,alperv,robb,chrisbanes,merty,dz0ny,ssg,onurozgurozkan,needim,ahmet,tayfunoziserikan,tugberkugurlu,kattrali,caner,davidsulc,bgedik,hallas,fatih,destan,sineld,fehmicansaglam,enderahmetyurt,osa1,sbagdat,jpsim,ashfurrow,idiot,aacanakin,krasimir,huseyinozkilic,nicklockwood,iandevlin,mauimauer,vbauer,vertexclique,AlexeyDemedetskiy,hkulekci,mdu,zasadnyy,askn,bahadir,MasDennis,ecunal,Goddchen,dashersw,ttezel,lucasr,snowdream,onokumus,hdogan,odersky,mustafaakin,mattneub,rssems,PareshMayani,kadircet,BradLarson,mehmetakiftutuncu,gotwarlost,orhanobut,emir,ibrahimgunduz34,fatiherikli,nostra13,kemalkanok,mertdumenci,halitalptekin,nyucel,smileyborg,Kapeli,pizza,krzysztofzablocki,erayarslan,cesards,joom,iltercengiz,nfrasser,jwalton,ChrisRenke,kublaios,bradleytaunt,erhnby,s,Androguide,hantuzun,dmytrodanylyk,daronyondem,TheFinestArtist,nuptboyzhb,dlangerenken,ozymaxx,cusspvz,brunocasanova,hamzasood,OguzhanE,altugkarakurt,klinker24,gabrielpconceicao,dkorkmazturk,celikkoseoglu,ShivanKaul,ogta,mahammad,mehmetdik,ErdeBek,necatikartal,ataalik,onewilk,furkansahin,anikristo,meliksh,begozcan,ozgur00,cholpona,ufukomer,alchemistake,mmmeeedddsss,lattner,camligorkem,alpernebbi,cemsoyulmaz,explorator-app}","{Python,Java,Objective-C,JavaScript,Swift,None}",
denizonural                             ,,"{SafaOzturk,ozymaxx,furkansahin,cagdass,stone-jin}","{harthur,charliesome,daneden,oguzbilgener,hantuzun,maverich,jeanqasaur,ErdeBek,furkansahin,cagdass,SafaOzturk,Kusaihana,senakicir}","{None,C#,Java,HTML,Arduino,C}",
metincansiper                           ,,"{ozymaxx,ayhun,smblknt,aligoren,furkansahin,stone-jin,MichalPaszkiewicz,bkakilli,mertkahyaoglu,mrsfy,gmkhussain,d2fong}","{maxkfranz,calkan,gmkhussain,d2fong,ozymaxx,ugurdogrusoz,aligoren,smblknt,furkansahin,ayhun,stone-jin,MichalPaszkiewicz,mertkahyaoglu,halilturkoglucs,ucalis,bkakilli,mrsfy}",{JavaScript},
zubeyr94                                ,,"{furkansahin,CharlesTaylor,MichalPaszkiewicz,stoked-zz,cagdass,SafaOzturk,senakicir}","{bgedik,oguzbilgener,furkansahin,SafaOzturk,MichalPaszkiewicz,CharlesTaylor,guemues}","{C++,Matlab}",
yusufkildan                             ,,"{hwclass,mssalvo,cusspvz,brunocasanova,gabrielpconceicao,furkansahin,mgwhitfield,frknbasaran,angusshire,stone-jin,ternsip,tugceulutas,shashankpali,volkanunal,josephbritt,merveagca}","{alex,dustin,jashmenn,ilya,jballanc,mattt,mattn,taylanpince,azer,jamesyu,berkerpeksag,mattgallagher,sarperdag,mickeyreiss,nickoneill,robrix,cihann,emre,vigo,jamesgpearce,ustun,simonng,lacker,neonichu,BYK,Ocramius,ahmetalpbalkan,hramos,cnoon,ademilter,f,kcharwood,devrim,cmoulton,AliSoftware,ssg,grantland,fatih,sinan,phalt,vargi,modocache,nlutsenko,icanzilb,sammyd,rnystrom,spentak,iulukaya,html5cat,mattneub,rssems,gmertk,dnomak,WorldDownTown,sdogruyol,onevcat,torvalds,MengTo,NatashaTheRobot,rahmanusta,nuclearace,fatiherikli,alikaragoz,halitalptekin,tannernelson,yigitguler,erayarslan,kaandedeoglu,iltercengiz,ozcanacar,githubteacher,antoinefinkelstein,azizarslan,jessesquires,Juriv,IonicaBizau,ChenYilong,daronyondem,burakcan,hwclass,mmetince,halilkaya,dasdom,wangmengyan95,sakkaras,paulofaria,ErisBlastar,gokselkoksal,arslanbilal,LoganWright,goktugyil,furkansahin,tugbaustundag,frknbasaran,Mav3r1ck,skipallmighty,kapgel-dev,Pakhaliuk,foaudkajj,KOWLOR,moakkaya,brianadvent,seabaylea,volkanunal,ab2016AndroidB,Stitchpunk,tugceulutas,merveagca}","{""Jupyter Notebook"",C++,Go,Java,HTML,Objective-C,JavaScript,Ruby,Swift,None,C}",
eneskemalergin                          ,North American University                                                                                                                                                                                                                                 ,"{sohrabhalimi,jokoje,rakay05,emreadeks,huseyinozkilic,erolrecep,duhi23,mhmt35,BedirT,yunusemregunduz,ntt99992003,mugwumppie,bilalonal,Nalan1,oyolal,Blue15,hbilgi,Sonsuz,reyyannur,nadide,musatoktas,jeremynealbrown,hafsanaciye,mdemir3,onuroksuz,msaid23,tugcecokay,Ergi,NurbekSakiev,mederbek0,jaredmichaelsmith,geraldo1993,connecthadi,ikamilov,furkansahin,brunocasanova,cusspvz,aikerim,zmughal,ueser,kturk,angusshire,subinoy,stone-jin,skaraalioglu,azmikamis,adiloztaser,yeahdongcn,MichaelMMeskhi,utkuyurter,atukenov,Mabast1,aysenurerdem,gokceneraslan,DavidCelSaz,irasuna,fly51fly,OzlemTugrul,serhatgksu,dkiria,zackhaikal,ternsip,AliCanAydogdu,lijuan-su,omicsnut,oyoot,quank,oguzhandagci,Ravshanbek1995,AhmetHamzaEmra,arvkevi,mcolic,naciyehafsacelebi,Eguzelyel,abuelanin,asifzubair,usakg,albinafrolova,robear22890,mburakergenc,arncelik,Baktybek,esrefv,accoladea,ck37}","{alex,brentp,hadley,rdpeng,kozo2,dalloliogm,hmason,lindenb,tiagoantao,benanne,ialbert,rg3,malev,bwallace,mikelove,arq5x,nneonneo,luispedro,vedaldi,fonnesbeck,jhamrick,foosel,ogrisel,zmughal,yarden,dbrgn,rakyll,kisonecat,sattvik,brandon-rhodes,dodger487,hmert,NelleV,jesstess,clementfarabet,dpsanders,andresy,gregcaporaso,catherinedevlin,slowkow,sigmavirus24,karpathy,josephmisiti,NARKOZ,nastra,uwi,marcelcaraciolo,sjackman,rougier,wesm,Julian,Carreau,gumption,sjmgarnier,bugra,katyhuff,perone,roryk,amejiarosario,ericjang,alexjc,amueller,stephenturner,glouppe,lh3,bsweger,jennybc,GuangchuangYu,ryansb,nayuki,saketkc,jadianes,fchollet,hathix,yusugomori,jakevdp,vsoch,jvns,mdshw5,koraykv,rhysd,malachig,Eigenstate,CamDavidsonPilon,mhlarson,wendykan,VikParuchuri,hwz,gjreda,rbharath,hilaryparker,florianletsch,gokceneraslan,clarecorthell,Aysegul,noraderam,calkan,econchick,jrjohansson,soumith,GaZ3ll3,felixrieseberg,stephaniehicks,esayli,posquit0,cedricve,jtleek,dominikgrewe,obigriffith,damianavila,rhiever,ueser,lalizlabeth,embaldridge,churchmanlab,bcaffo,denizyuret,ehotinger,jairideout,gibiansky,Xiaodan,rossant,alyssafrazee,samim23,yxjiang,kjgilbert,lijuan-su,j2kun,Newmu,ejfertig,chrisprobert,davetang,zer0n,HHammond,BenLangmead,amygdalama,c0cky,karan,carpedm20,mattbroussard,nyghtowl,daquang,nicholas-leonard,gaylemcd,chrisalbon,dynamicwebpaige,mederbek0,songrotek,crazyhottommy,ericdouglas,erolrecep,ihsuslu,NurbekSakiev,chdoig,szagoruyko,oztalha,szeitlin,trevorstephens,Jverma,TimDettmers,rafalab,jacobgil,ogta,donnemartin,asifzubair,mahammad,brenns10,tugcecokay,Sentdex,mine-cetinkaya-rundel,sherzat3,furkansahin,HamidehIraj,ChenglongChen,aikerim,kashefy,tdpetrou,greysAcademicCode,buzkiran,mertkahyaoglu,jaredmichaelsmith,mburakergenc,onuroksuz,kduran,yasintoy,ealparslan,jmportilla,komrong,jackiehluo,profkemalaydin,asonmez,OzlemTugrul,azhunissov,agasitov,jokoje,rakay05,mhmt35,Ergi,alimcelik,emreadeks,zhanarzhan,enessvk,arvkevi,mcolic,Adrianzo,Eguzelyel,musatoktas,Ravshanbek1995,aysenurerdem,GlcEbru,ryankiros,kcakdemir,aymericdamien,sux13,Bekiyev,vladchimescu,Nalan1,mugwumppie,BedirT,yunusemregunduz,ntt99992003,bilalonal,msaid23,oyolal,Blue15,hbilgi,Sonsuz,mdemir3,reyyannur,nadide,bcanatar,hafsanaciye,utkuyurter,geraldo1993,MichaelMMeskhi,naciyehafsacelebi,connecthadi,atukenov,kturk,Mabast1,oguzhandagci,irasuna,AliCanAydogdu,AhmetHamzaEmra,arncelik,albinafrolova,accoladea}","{""Jupyter Notebook"",R,Python,Java,HTML,JavaScript,TeX,CSS,None,C}","{""<Organization [NAU-ACM:]>""}"
oguzdemir                               ,Bilkent University                                                                                                                                                                                                                                        ,"{furkansahin,Treslina,kaankale,anikristo,cagdass}","{furkansahin,anikristo,mustafaiman,Treslina}","{TypeScript,PHP,Python,C#,Java,HTML,CSS,C++,C}",
oguzhandagci                            ,,"{eneskemalergin,AhmetHamzaEmra,irasuna,MichaelMMeskhi}","{eneskemalergin,buckyroberts,BedirT,MichaelMMeskhi,atukenov,irasuna}",{None},
